Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
1.300e-02,7.4,2.46,,1.300e-02,2.46
1.304e-02,7.48,2.52,,1.304e-02,2.52
1.308e-02,7.4,2.46,,1.308e-02,2.46
1.312e-02,7.48,2.52,,1.312e-02,2.52
1.316e-02,7.48,2.46,,1.316e-02,2.46
1.320e-02,7.56,2.46,,1.320e-02,2.46
1.324e-02,7.48,2.48,,1.324e-02,2.48
1.328e-02,7.4,2.52,,1.328e-02,2.52
1.332e-02,7.48,2.48,,1.332e-02,2.48
1.336e-02,7.56,2.5,,1.336e-02,2.5
1.340e-02,7.4,2.52,,1.340e-02,2.52
1.344e-02,7.4,2.46,,1.344e-02,2.46
1.348e-02,7.48,2.58,,1.348e-02,2.58
1.352e-02,7.4,2.48,,1.352e-02,2.48
1.356e-02,7.56,2.48,,1.356e-02,2.48
1.360e-02,7.4,2.48,,1.360e-02,2.48
1.364e-02,7.4,2.5,,1.364e-02,2.5
1.368e-02,7.4,2.48,,1.368e-02,2.48
1.372e-02,7.4,2.48,,1.372e-02,2.48
1.376e-02,7.56,2.5,,1.376e-02,2.5
1.380e-02,7.56,2.46,,1.380e-02,2.46
1.384e-02,7.4,2.52,,1.384e-02,2.52
1.388e-02,7.4,2.48,,1.388e-02,2.48
1.392e-02,7.4,2.5,,1.392e-02,2.5
1.396e-02,7.4,2.5,,1.396e-02,2.5
1.400e-02,7.4,2.5,,1.400e-02,2.5
1.404e-02,7.48,2.46,,1.404e-02,2.46
1.408e-02,7.48,2.48,,1.408e-02,2.48
1.412e-02,7.24,2.52,,1.412e-02,2.52
1.416e-02,7.48,2.5,,1.416e-02,2.5
1.420e-02,7.4,2.48,,1.420e-02,2.48
1.424e-02,7.4,2.46,,1.424e-02,2.46
1.428e-02,7.48,2.5,,1.428e-02,2.5
1.432e-02,7.4,2.46,,1.432e-02,2.46
1.436e-02,7.56,2.52,,1.436e-02,2.52
1.440e-02,7.32,2.5,,1.440e-02,2.5
1.444e-02,7.48,2.48,,1.444e-02,2.48
1.448e-02,7.4,2.5,,1.448e-02,2.5
1.452e-02,7.48,2.5,,1.452e-02,2.5
1.456e-02,7.48,2.5,,1.456e-02,2.5
1.460e-02,7.4,2.46,,1.460e-02,2.46
1.464e-02,7.48,2.52,,1.464e-02,2.52
1.468e-02,7.32,2.5,,1.468e-02,2.5
1.472e-02,7.48,2.48,,1.472e-02,2.48
1.476e-02,7.48,2.48,,1.476e-02,2.48
1.480e-02,7.48,2.48,,1.480e-02,2.48
1.484e-02,7.4,2.46,,1.484e-02,2.46
1.488e-02,7.32,2.46,,1.488e-02,2.46
1.492e-02,7.48,2.5,,1.492e-02,2.5
1.496e-02,7.32,2.52,,1.496e-02,2.52
1.500e-02,7.4,2.5,,1.500e-02,2.5
1.504e-02,7.32,2.48,,1.504e-02,2.48
1.508e-02,7.4,2.52,,1.508e-02,2.52
1.512e-02,7.32,2.52,,1.512e-02,2.52
1.516e-02,7.32,2.46,,1.516e-02,2.46
1.520e-02,7.48,2.52,,1.520e-02,2.52
1.524e-02,7.32,2.52,,1.524e-02,2.52
1.528e-02,7.32,2.54,,1.528e-02,2.54
1.532e-02,7.56,2.5,,1.532e-02,2.5
1.536e-02,7.48,2.5,,1.536e-02,2.5
1.540e-02,7.32,2.52,,1.540e-02,2.52
1.544e-02,7.32,2.52,,1.544e-02,2.52
1.548e-02,7.48,2.46,,1.548e-02,2.46
1.552e-02,7.4,2.5,,1.552e-02,2.5
1.556e-02,7.24,2.54,,1.556e-02,2.54
1.560e-02,7.48,2.56,,1.560e-02,2.56
1.564e-02,7.4,2.48,,1.564e-02,2.48
1.568e-02,7.4,2.48,,1.568e-02,2.48
1.572e-02,7.32,2.54,,1.572e-02,2.54
1.576e-02,7.48,2.48,,1.576e-02,2.48
1.580e-02,7.56,2.52,,1.580e-02,2.52
1.584e-02,7.4,2.5,,1.584e-02,2.5
1.588e-02,7.4,2.48,,1.588e-02,2.48
1.592e-02,7.4,2.58,,1.592e-02,2.58
1.596e-02,7.32,2.52,,1.596e-02,2.52
1.600e-02,7.48,2.5,,1.600e-02,2.5
1.604e-02,7.24,2.5,,1.604e-02,2.5
1.608e-02,7.4,2.52,,1.608e-02,2.52
1.612e-02,7.32,2.52,,1.612e-02,2.52
1.616e-02,7.48,2.46,,1.616e-02,2.46
1.620e-02,7.4,2.54,,1.620e-02,2.54
1.624e-02,7.4,2.52,,1.624e-02,2.52
1.628e-02,7.48,2.54,,1.628e-02,2.54
1.632e-02,7.4,2.5,,1.632e-02,2.5
1.636e-02,7.56,2.54,,1.636e-02,2.54
1.640e-02,7.48,2.52,,1.640e-02,2.52
1.644e-02,7.32,2.52,,1.644e-02,2.52
1.648e-02,7.32,2.52,,1.648e-02,2.52
1.652e-02,7.48,2.46,,1.652e-02,2.46
1.656e-02,7.56,2.52,,1.656e-02,2.52
1.660e-02,7.4,2.48,,1.660e-02,2.48
1.664e-02,7.32,2.5,,1.664e-02,2.5
1.668e-02,7.4,2.52,,1.668e-02,2.52
1.672e-02,7.32,2.54,,1.672e-02,2.54
1.676e-02,7.48,2.56,,1.676e-02,2.56
1.680e-02,7.4,2.52,,1.680e-02,2.52
1.684e-02,7.4,2.52,,1.684e-02,2.52
1.688e-02,7.4,2.52,,1.688e-02,2.52
1.692e-02,7.4,2.52,,1.692e-02,2.52
1.696e-02,7.32,2.54,,1.696e-02,2.54
1.700e-02,7.4,2.52,,1.700e-02,2.52
1.704e-02,7.4,2.5,,1.704e-02,2.5
1.708e-02,7.4,2.52,,1.708e-02,2.52
1.712e-02,7.48,2.54,,1.712e-02,2.54
1.716e-02,7.4,2.56,,1.716e-02,2.56
1.720e-02,7.32,2.54,,1.720e-02,2.54
1.724e-02,7.48,2.54,,1.724e-02,2.54
1.728e-02,7.4,2.5,,1.728e-02,2.5
1.732e-02,7.32,2.54,,1.732e-02,2.54
1.736e-02,7.4,2.54,,1.736e-02,2.54
1.740e-02,7.4,2.52,,1.740e-02,2.52
1.744e-02,7.32,2.54,,1.744e-02,2.54
1.748e-02,7.32,2.48,,1.748e-02,2.48
1.752e-02,7.4,2.52,,1.752e-02,2.52
1.756e-02,7.4,2.52,,1.756e-02,2.52
1.760e-02,7.48,2.54,,1.760e-02,2.54
1.764e-02,7.32,2.52,,1.764e-02,2.52
1.768e-02,7.48,2.54,,1.768e-02,2.54
1.772e-02,7.32,2.52,,1.772e-02,2.52
1.776e-02,7.4,2.52,,1.776e-02,2.52
1.780e-02,7.48,2.52,,1.780e-02,2.52
1.784e-02,7.4,2.54,,1.784e-02,2.54
1.788e-02,7.4,2.52,,1.788e-02,2.52
1.792e-02,7.48,2.54,,1.792e-02,2.54
1.796e-02,7.48,2.56,,1.796e-02,2.56
1.800e-02,7.4,2.54,,1.800e-02,2.54
1.804e-02,7.4,2.56,,1.804e-02,2.56
1.808e-02,7.4,2.54,,1.808e-02,2.54
1.812e-02,7.48,2.56,,1.812e-02,2.56
1.816e-02,7.4,2.54,,1.816e-02,2.54
1.820e-02,7.48,2.5,,1.820e-02,2.5
1.824e-02,7.48,2.48,,1.824e-02,2.48
1.828e-02,7.32,2.56,,1.828e-02,2.56
1.832e-02,7.4,2.52,,1.832e-02,2.52
1.836e-02,7.48,2.54,,1.836e-02,2.54
1.840e-02,7.4,2.54,,1.840e-02,2.54
1.844e-02,7.32,2.54,,1.844e-02,2.54
1.848e-02,7.4,2.58,,1.848e-02,2.58
1.852e-02,7.4,2.54,,1.852e-02,2.54
1.856e-02,7.4,2.52,,1.856e-02,2.52
1.860e-02,7.48,2.54,,1.860e-02,2.54
1.864e-02,7.48,2.54,,1.864e-02,2.54
1.868e-02,7.48,2.52,,1.868e-02,2.52
1.872e-02,7.56,2.54,,1.872e-02,2.54
1.876e-02,7.32,2.52,,1.876e-02,2.52
1.880e-02,7.48,2.56,,1.880e-02,2.56
1.884e-02,7.4,2.54,,1.884e-02,2.54
1.888e-02,7.4,2.52,,1.888e-02,2.52
1.892e-02,7.32,2.54,,1.892e-02,2.54
1.896e-02,7.4,2.52,,1.896e-02,2.52
1.900e-02,7.48,2.54,,1.900e-02,2.54
1.904e-02,7.4,2.52,,1.904e-02,2.52
1.908e-02,7.32,2.54,,1.908e-02,2.54
1.912e-02,7.32,2.56,,1.912e-02,2.56
1.916e-02,7.32,2.48,,1.916e-02,2.48
1.920e-02,7.48,2.54,,1.920e-02,2.54
1.924e-02,7.48,2.54,,1.924e-02,2.54
1.928e-02,7.4,2.52,,1.928e-02,2.52
1.932e-02,7.32,2.54,,1.932e-02,2.54
1.936e-02,7.32,2.54,,1.936e-02,2.54
1.940e-02,7.48,2.56,,1.940e-02,2.56
1.944e-02,7.24,2.56,,1.944e-02,2.56
1.948e-02,7.4,2.52,,1.948e-02,2.52
1.952e-02,7.32,2.52,,1.952e-02,2.52
1.956e-02,7.4,2.54,,1.956e-02,2.54
1.960e-02,7.48,2.54,,1.960e-02,2.54
1.964e-02,7.4,2.56,,1.964e-02,2.56
1.968e-02,7.48,2.54,,1.968e-02,2.54
1.972e-02,7.48,2.54,,1.972e-02,2.54
1.976e-02,7.48,2.56,,1.976e-02,2.56
1.980e-02,7.32,2.56,,1.980e-02,2.56
1.984e-02,7.4,2.54,,1.984e-02,2.54
1.988e-02,7.4,2.52,,1.988e-02,2.52
1.992e-02,7.4,2.54,,1.992e-02,2.54
1.996e-02,7.24,2.56,,1.996e-02,2.56
2.000e-02,7.4,2.52,,2.000e-02,2.52
2.004e-02,7.32,2.52,,2.004e-02,2.52
2.008e-02,7.48,2.56,,2.008e-02,2.56
2.012e-02,7.4,2.56,,2.012e-02,2.56
2.016e-02,7.32,2.52,,2.016e-02,2.52
2.020e-02,7.32,2.56,,2.020e-02,2.56
2.024e-02,7.32,2.56,,2.024e-02,2.56
2.028e-02,7.24,2.54,,2.028e-02,2.54
2.032e-02,7.56,2.56,,2.032e-02,2.56
2.036e-02,7.48,2.54,,2.036e-02,2.54
2.040e-02,7.32,2.58,,2.040e-02,2.58
2.044e-02,7.4,2.52,,2.044e-02,2.52
2.048e-02,7.4,2.52,,2.048e-02,2.52
2.052e-02,7.32,2.58,,2.052e-02,2.58
2.056e-02,7.4,2.54,,2.056e-02,2.54
2.060e-02,7.32,2.54,,2.060e-02,2.54
2.064e-02,7.32,2.58,,2.064e-02,2.58
2.068e-02,7.32,2.6,,2.068e-02,2.6
2.072e-02,7.32,2.54,,2.072e-02,2.54
2.076e-02,7.4,2.54,,2.076e-02,2.54
2.080e-02,7.48,2.56,,2.080e-02,2.56
2.084e-02,7.32,2.58,,2.084e-02,2.58
2.088e-02,7.4,2.58,,2.088e-02,2.58
2.092e-02,7.4,2.54,,2.092e-02,2.54
2.096e-02,7.4,2.56,,2.096e-02,2.56
2.100e-02,7.4,2.56,,2.100e-02,2.56
2.104e-02,7.4,2.52,,2.104e-02,2.52
2.108e-02,7.32,2.56,,2.108e-02,2.56
2.112e-02,7.4,2.54,,2.112e-02,2.54
2.116e-02,7.32,2.56,,2.116e-02,2.56
2.120e-02,7.4,2.56,,2.120e-02,2.56
2.124e-02,7.24,2.54,,2.124e-02,2.54
2.128e-02,7.24,2.58,,2.128e-02,2.58
2.132e-02,7.32,2.56,,2.132e-02,2.56
2.136e-02,7.4,2.54,,2.136e-02,2.54
2.140e-02,7.24,2.54,,2.140e-02,2.54
2.144e-02,7.32,2.58,,2.144e-02,2.58
2.148e-02,7.32,2.58,,2.148e-02,2.58
2.152e-02,7.4,2.54,,2.152e-02,2.54
2.156e-02,7.32,2.58,,2.156e-02,2.58
2.160e-02,7.48,2.58,,2.160e-02,2.58
2.164e-02,7.32,2.54,,2.164e-02,2.54
2.168e-02,7.32,2.56,,2.168e-02,2.56
2.172e-02,7.32,2.56,,2.172e-02,2.56
2.176e-02,7.48,2.56,,2.176e-02,2.56
2.180e-02,7.32,2.56,,2.180e-02,2.56
2.184e-02,7.4,2.56,,2.184e-02,2.56
2.188e-02,7.24,2.56,,2.188e-02,2.56
2.192e-02,7.48,2.56,,2.192e-02,2.56
2.196e-02,7.4,2.56,,2.196e-02,2.56
2.200e-02,7.24,2.58,,2.200e-02,2.58
2.204e-02,7.32,2.56,,2.204e-02,2.56
2.208e-02,7.4,2.56,,2.208e-02,2.56
2.212e-02,7.48,2.58,,2.212e-02,2.58
2.216e-02,7.32,2.54,,2.216e-02,2.54
2.220e-02,7.48,2.54,,2.220e-02,2.54
2.224e-02,7.32,2.56,,2.224e-02,2.56
2.228e-02,7.32,2.56,,2.228e-02,2.56
2.232e-02,7.24,2.56,,2.232e-02,2.56
2.236e-02,7.4,2.56,,2.236e-02,2.56
2.240e-02,7.32,2.6,,2.240e-02,2.6
2.244e-02,7.32,2.58,,2.244e-02,2.58
2.248e-02,7.32,2.58,,2.248e-02,2.58
2.252e-02,7.32,2.58,,2.252e-02,2.58
2.256e-02,7.4,2.56,,2.256e-02,2.56
2.260e-02,7.4,2.56,,2.260e-02,2.56
2.264e-02,7.4,2.54,,2.264e-02,2.54
2.268e-02,7.16,2.46,,2.268e-02,2.46
2.272e-02,7.24,2.58,,2.272e-02,2.58
2.276e-02,7.32,2.6,,2.276e-02,2.6
2.280e-02,7.24,2.58,,2.280e-02,2.58
2.284e-02,7.24,2.58,,2.284e-02,2.58
2.288e-02,7.32,2.58,,2.288e-02,2.58
2.292e-02,7.32,2.58,,2.292e-02,2.58
2.296e-02,7.32,2.58,,2.296e-02,2.58
2.300e-02,7.24,2.58,,2.300e-02,2.58
2.304e-02,7.4,2.56,,2.304e-02,2.56
2.308e-02,7.4,2.56,,2.308e-02,2.56
2.312e-02,7.24,2.54,,2.312e-02,2.54
2.316e-02,7.56,2.56,,2.316e-02,2.56
2.320e-02,7.32,2.58,,2.320e-02,2.58
2.324e-02,7.32,2.58,,2.324e-02,2.58
2.328e-02,7.4,2.58,,2.328e-02,2.58
2.332e-02,7.32,2.58,,2.332e-02,2.58
2.336e-02,7.4,2.58,,2.336e-02,2.58
2.340e-02,7.4,2.58,,2.340e-02,2.58
2.344e-02,7.4,2.6,,2.344e-02,2.6
2.348e-02,7.32,2.56,,2.348e-02,2.56
2.352e-02,7.32,2.56,,2.352e-02,2.56
2.356e-02,7.32,2.58,,2.356e-02,2.58
2.360e-02,7.32,2.58,,2.360e-02,2.58
2.364e-02,7.4,2.58,,2.364e-02,2.58
2.368e-02,7.32,2.54,,2.368e-02,2.54
2.372e-02,7.4,2.58,,2.372e-02,2.58
2.376e-02,7.24,2.58,,2.376e-02,2.58
2.380e-02,7.32,2.58,,2.380e-02,2.58
2.384e-02,7.32,2.58,,2.384e-02,2.58
2.388e-02,7.32,2.58,,2.388e-02,2.58
2.392e-02,7.32,2.56,,2.392e-02,2.56
2.396e-02,7.32,2.54,,2.396e-02,2.54
2.400e-02,7.32,2.58,,2.400e-02,2.58
2.404e-02,7.32,2.58,,2.404e-02,2.58
2.408e-02,7.4,2.56,,2.408e-02,2.56
2.412e-02,7.4,2.56,,2.412e-02,2.56
2.416e-02,7.4,2.6,,2.416e-02,2.6
2.420e-02,7.4,2.58,,2.420e-02,2.58
2.424e-02,7.32,2.58,,2.424e-02,2.58
2.428e-02,7.32,2.58,,2.428e-02,2.58
2.432e-02,7.24,2.58,,2.432e-02,2.58
2.436e-02,7.32,2.6,,2.436e-02,2.6
2.440e-02,7.4,2.56,,2.440e-02,2.56
2.444e-02,7.4,2.56,,2.444e-02,2.56
2.448e-02,7.4,2.56,,2.448e-02,2.56
2.452e-02,7.32,2.56,,2.452e-02,2.56
2.456e-02,7.32,2.54,,2.456e-02,2.54
2.460e-02,7.16,2.6,,2.460e-02,2.6
2.464e-02,7.32,2.6,,2.464e-02,2.6
2.468e-02,7.4,2.58,,2.468e-02,2.58
2.472e-02,7.4,2.56,,2.472e-02,2.56
2.476e-02,7.24,2.58,,2.476e-02,2.58
2.480e-02,7.48,2.56,,2.480e-02,2.56
2.484e-02,7.32,2.6,,2.484e-02,2.6
2.488e-02,7.4,2.56,,2.488e-02,2.56
2.492e-02,7.32,2.58,,2.492e-02,2.58
2.496e-02,7.4,2.58,,2.496e-02,2.58
2.500e-02,7.4,2.6,,2.500e-02,2.6
2.504e-02,7.32,2.58,,2.504e-02,2.58
2.508e-02,7.24,2.58,,2.508e-02,2.58
2.512e-02,7.32,2.58,,2.512e-02,2.58
2.516e-02,7.32,2.58,,2.516e-02,2.58
2.520e-02,7.24,2.58,,2.520e-02,2.58
2.524e-02,7.4,2.6,,2.524e-02,2.6
2.528e-02,7.32,2.58,,2.528e-02,2.58
2.532e-02,7.16,2.56,,2.532e-02,2.56
2.536e-02,7.32,2.58,,2.536e-02,2.58
2.540e-02,7.32,2.56,,2.540e-02,2.56
2.544e-02,7.24,2.6,,2.544e-02,2.6
2.548e-02,7.32,2.58,,2.548e-02,2.58
2.552e-02,7.32,2.58,,2.552e-02,2.58
2.556e-02,7.32,2.58,,2.556e-02,2.58
2.560e-02,7.4,2.58,,2.560e-02,2.58
2.564e-02,7.24,2.62,,2.564e-02,2.62
2.568e-02,7.4,2.58,,2.568e-02,2.58
2.572e-02,7.32,2.58,,2.572e-02,2.58
2.576e-02,7.32,2.54,,2.576e-02,2.54
2.580e-02,7.24,2.58,,2.580e-02,2.58
2.584e-02,7.32,2.58,,2.584e-02,2.58
2.588e-02,7.32,2.62,,2.588e-02,2.62
2.592e-02,7.32,2.6,,2.592e-02,2.6
2.596e-02,7.32,2.6,,2.596e-02,2.6
2.600e-02,7.24,2.58,,2.600e-02,2.58
2.604e-02,7.32,2.56,,2.604e-02,2.56
2.608e-02,7.4,2.6,,2.608e-02,2.6
2.612e-02,7.4,2.6,,2.612e-02,2.6
2.616e-02,7.48,2.64,,2.616e-02,2.64
2.620e-02,7.48,2.58,,2.620e-02,2.58
2.624e-02,7.32,2.56,,2.624e-02,2.56
2.628e-02,7.4,2.6,,2.628e-02,2.6
2.632e-02,7.48,2.6,,2.632e-02,2.6
2.636e-02,7.4,2.56,,2.636e-02,2.56
2.640e-02,7.4,2.6,,2.640e-02,2.6
2.644e-02,7.4,2.6,,2.644e-02,2.6
2.648e-02,7.24,2.6,,2.648e-02,2.6
2.652e-02,7.4,2.62,,2.652e-02,2.62
2.656e-02,7.4,2.58,,2.656e-02,2.58
2.660e-02,7.4,2.58,,2.660e-02,2.58
2.664e-02,7.32,2.56,,2.664e-02,2.56
2.668e-02,7.24,2.58,,2.668e-02,2.58
2.672e-02,7.24,2.62,,2.672e-02,2.62
2.676e-02,7.32,2.62,,2.676e-02,2.62
2.680e-02,7.4,2.58,,2.680e-02,2.58
2.684e-02,7.24,2.56,,2.684e-02,2.56
2.688e-02,7.4,2.62,,2.688e-02,2.62
2.692e-02,7.4,2.56,,2.692e-02,2.56
2.696e-02,7.32,2.58,,2.696e-02,2.58
2.700e-02,7.32,2.6,,2.700e-02,2.6
2.704e-02,7.32,2.6,,2.704e-02,2.6
2.708e-02,7.32,2.58,,2.708e-02,2.58
2.712e-02,7.24,2.58,,2.712e-02,2.58
2.716e-02,7.32,2.6,,2.716e-02,2.6
2.720e-02,7.32,2.58,,2.720e-02,2.58
2.724e-02,7.16,2.64,,2.724e-02,2.64
2.728e-02,7.48,2.6,,2.728e-02,2.6
2.732e-02,7.4,2.58,,2.732e-02,2.58
2.736e-02,7.32,2.6,,2.736e-02,2.6
2.740e-02,7.24,2.6,,2.740e-02,2.6
2.744e-02,7.4,2.62,,2.744e-02,2.62
2.748e-02,7.4,2.6,,2.748e-02,2.6
2.752e-02,7.32,2.6,,2.752e-02,2.6
2.756e-02,7.24,2.6,,2.756e-02,2.6
2.760e-02,7.24,2.58,,2.760e-02,2.58
2.764e-02,7.32,2.62,,2.764e-02,2.62
2.768e-02,7.4,2.62,,2.768e-02,2.62
2.772e-02,7.32,2.6,,2.772e-02,2.6
2.776e-02,7.4,2.6,,2.776e-02,2.6
2.780e-02,7.4,2.58,,2.780e-02,2.58
2.784e-02,7.32,2.62,,2.784e-02,2.62
2.788e-02,7.32,2.6,,2.788e-02,2.6
2.792e-02,7.16,2.58,,2.792e-02,2.58
2.796e-02,7.32,2.6,,2.796e-02,2.6
2.800e-02,7.24,2.6,,2.800e-02,2.6
2.804e-02,7.32,2.62,,2.804e-02,2.62
2.808e-02,7.32,2.62,,2.808e-02,2.62
2.812e-02,7.24,2.6,,2.812e-02,2.6
2.816e-02,7.32,2.62,,2.816e-02,2.62
2.820e-02,7.32,2.62,,2.820e-02,2.62
2.824e-02,7.32,2.62,,2.824e-02,2.62
2.828e-02,7.32,2.64,,2.828e-02,2.64
2.832e-02,7.32,2.62,,2.832e-02,2.62
2.836e-02,7.32,2.62,,2.836e-02,2.62
2.840e-02,7.32,2.6,,2.840e-02,2.6
2.844e-02,7.32,2.62,,2.844e-02,2.62
2.848e-02,7.32,2.62,,2.848e-02,2.62
2.852e-02,7.4,2.58,,2.852e-02,2.58
2.856e-02,7.32,2.6,,2.856e-02,2.6
2.860e-02,7.4,2.6,,2.860e-02,2.6
2.864e-02,7.32,2.62,,2.864e-02,2.62
2.868e-02,7.4,2.62,,2.868e-02,2.62
2.872e-02,7.32,2.64,,2.872e-02,2.64
2.876e-02,7.24,2.58,,2.876e-02,2.58
2.880e-02,7.32,2.62,,2.880e-02,2.62
2.884e-02,7.32,2.62,,2.884e-02,2.62
2.888e-02,7.32,2.6,,2.888e-02,2.6
2.892e-02,7.24,2.6,,2.892e-02,2.6
2.896e-02,7.4,2.6,,2.896e-02,2.6
2.900e-02,7.24,2.64,,2.900e-02,2.64
2.904e-02,7.32,2.58,,2.904e-02,2.58
2.908e-02,7.24,2.6,,2.908e-02,2.6
2.912e-02,7.32,2.62,,2.912e-02,2.62
2.916e-02,7.32,2.64,,2.916e-02,2.64
2.920e-02,7.48,2.6,,2.920e-02,2.6
2.924e-02,7.24,2.58,,2.924e-02,2.58
2.928e-02,7.32,2.6,,2.928e-02,2.6
2.932e-02,7.32,2.62,,2.932e-02,2.62
2.936e-02,7.4,2.62,,2.936e-02,2.62
2.940e-02,7.32,2.62,,2.940e-02,2.62
2.944e-02,7.32,2.62,,2.944e-02,2.62
2.948e-02,7.32,2.58,,2.948e-02,2.58
2.952e-02,7.32,2.64,,2.952e-02,2.64
2.956e-02,7.4,2.62,,2.956e-02,2.62
2.960e-02,7.32,2.6,,2.960e-02,2.6
2.964e-02,7.24,2.66,,2.964e-02,2.66
2.968e-02,7.32,2.62,,2.968e-02,2.62
2.972e-02,7.32,2.6,,2.972e-02,2.6
2.976e-02,7.4,2.62,,2.976e-02,2.62
2.980e-02,7.32,2.66,,2.980e-02,2.66
2.984e-02,7.32,2.64,,2.984e-02,2.64
2.988e-02,7.32,2.6,,2.988e-02,2.6
2.992e-02,7.32,2.62,,2.992e-02,2.62
2.996e-02,7.32,2.6,,2.996e-02,2.6
3.000e-02,-0.04,0.02,,3.000e-02,0.02
3.004e-02,-0.04,0,,3.004e-02,0
3.008e-02,-0.12,0,,3.008e-02,0
3.012e-02,-0.04,0,,3.012e-02,0
3.016e-02,0.12,0.02,,3.016e-02,0.02
3.020e-02,0.04,0,,3.020e-02,0
3.024e-02,0.04,0.02,,3.024e-02,0.02
3.028e-02,0.04,0,,3.028e-02,0
3.032e-02,0.12,0.04,,3.032e-02,0.04
3.036e-02,0.12,0.02,,3.036e-02,0.02
3.040e-02,0.12,0,,3.040e-02,0
3.044e-02,0.12,0.02,,3.044e-02,0.02
3.048e-02,-0.04,0,,3.048e-02,0
3.052e-02,0.12,0.02,,3.052e-02,0.02
3.056e-02,0.04,0.02,,3.056e-02,0.02
3.060e-02,0.04,-0.02,,3.060e-02,-0.02
3.064e-02,0.12,0.02,,3.064e-02,0.02
3.068e-02,-0.04,0,,3.068e-02,0
3.072e-02,0.12,0,,3.072e-02,0
3.076e-02,-0.04,-0.02,,3.076e-02,-0.02
3.080e-02,0.2,0.02,,3.080e-02,0.02
3.084e-02,0.04,0,,3.084e-02,0
3.088e-02,0.2,0.04,,3.088e-02,0.04
3.092e-02,0.12,-0.02,,3.092e-02,-0.02
3.096e-02,0.12,-0.02,,3.096e-02,-0.02
3.100e-02,0.04,0,,3.100e-02,0
3.104e-02,0.12,0.02,,3.104e-02,0.02
3.108e-02,0.12,0.04,,3.108e-02,0.04
3.112e-02,0.04,0,,3.112e-02,0
3.116e-02,0.12,0.02,,3.116e-02,0.02
3.120e-02,0.2,0,,3.120e-02,0
3.124e-02,0.04,0,,3.124e-02,0
3.128e-02,0.04,0.02,,3.128e-02,0.02
3.132e-02,-0.12,0.02,,3.132e-02,0.02
3.136e-02,-0.04,0.04,,3.136e-02,0.04
3.140e-02,0.12,-0.04,,3.140e-02,-0.04
3.144e-02,0.04,0.02,,3.144e-02,0.02
3.148e-02,0.12,0,,3.148e-02,0
3.152e-02,-0.04,0.02,,3.152e-02,0.02
3.156e-02,0.04,0,,3.156e-02,0
3.160e-02,-0.12,0.04,,3.160e-02,0.04
3.164e-02,0.12,-0.02,,3.164e-02,-0.02
3.168e-02,0.12,0.02,,3.168e-02,0.02
3.172e-02,0.04,0,,3.172e-02,0
3.176e-02,-0.12,0.04,,3.176e-02,0.04
3.180e-02,-0.04,0.02,,3.180e-02,0.02
3.184e-02,0.12,0,,3.184e-02,0
3.188e-02,-0.04,0.02,,3.188e-02,0.02
3.192e-02,-0.04,0,,3.192e-02,0
3.196e-02,0.04,0,,3.196e-02,0
3.200e-02,0.04,-0.02,,3.200e-02,-0.02
3.204e-02,0.12,-0.02,,3.204e-02,-0.02
3.208e-02,-0.12,0,,3.208e-02,0
3.212e-02,0.12,0,,3.212e-02,0
3.216e-02,0.2,-0.02,,3.216e-02,-0.02
3.220e-02,0.04,0,,3.220e-02,0
3.224e-02,0.04,0.02,,3.224e-02,0.02
3.228e-02,0.12,0.02,,3.228e-02,0.02
3.232e-02,0.04,0.02,,3.232e-02,0.02
3.236e-02,0.2,0,,3.236e-02,0
3.240e-02,-0.04,0.02,,3.240e-02,0.02
3.244e-02,-0.04,0.04,,3.244e-02,0.04
3.248e-02,0.04,0.04,,3.248e-02,0.04
3.252e-02,0.04,0,,3.252e-02,0
3.256e-02,0.12,0.02,,3.256e-02,0.02
3.260e-02,0.04,0.02,,3.260e-02,0.02
3.264e-02,0.04,0.02,,3.264e-02,0.02
3.268e-02,0.04,0.02,,3.268e-02,0.02
3.272e-02,0.04,-0.02,,3.272e-02,-0.02
3.276e-02,0.04,0,,3.276e-02,0
3.280e-02,-0.12,0.02,,3.280e-02,0.02
3.284e-02,0.04,0,,3.284e-02,0
3.288e-02,0.04,0.02,,3.288e-02,0.02
3.292e-02,0.12,0.02,,3.292e-02,0.02
3.296e-02,0.12,0.04,,3.296e-02,0.04
3.300e-02,-0.04,0.06,,3.300e-02,0.06
3.304e-02,0.12,0.02,,3.304e-02,0.02
3.308e-02,-0.04,-0.02,,3.308e-02,-0.02
3.312e-02,-0.04,0.02,,3.312e-02,0.02
3.316e-02,0.04,0.02,,3.316e-02,0.02
3.320e-02,0.04,0,,3.320e-02,0
3.324e-02,0.12,0,,3.324e-02,0
3.328e-02,0.12,0.02,,3.328e-02,0.02
3.332e-02,0.04,0,,3.332e-02,0
3.336e-02,0.04,0,,3.336e-02,0
