Temperature             Resistance
(Kelvin)                (Ohms)

1.20438155708712E+00   8.59726364090096E+04
1.30934455880474E+00   6.59607484948779E+04
1.40092439626525E+00   5.38427085471404E+04
1.59949166918730E+00   3.72243360965057E+04
1.79918841350711E+00   2.75608336847583E+04
1.99871593884399E+00   2.14598526157964E+04
2.19928236318608E+00   1.73173778561503E+04
2.40135681654794E+00   1.43757212792049E+04
2.60249728812741E+00   1.22253003583467E+04
2.81018630641636E+00   1.05457589023153E+04
3.03164387965590E+00   9.17469306848760E+03
3.19983670587188E+00   8.34124667362898E+03
3.39808720210129E+00   7.52390987796165E+03
3.60000794080725E+00   6.83660902759361E+03
3.79985806960704E+00   6.26555252552604E+03
4.00450025317057E+00   5.76981792446820E+03
4.18638401084970E+00   5.38985768512266E+03
4.61786918767642E+00   4.66536325725051E+03
5.02762645155344E+00   4.13593040038371E+03
5.54066434200446E+00   3.62554845949748E+03
6.25849227346584E+00   3.09594629870832E+03
7.07463411495164E+00   2.66119955181146E+03
8.09936131434935E+00   2.27077580124212E+03
9.13042198461886E+00   1.98531639364462E+03
1.01619336052795E+01   1.76773236069046E+03
1.11839836969546E+01   1.59771451990187E+03
1.21942991248092E+01   1.46098163692150E+03
1.32000697238589E+01   1.34781948554525E+03
1.41920563797199E+01   1.25373044656175E+03
1.51785043065456E+01   1.17309210491707E+03
1.61582270656443E+01   1.10321890708553E+03
1.71342348615401E+01   1.04207172435421E+03
1.81077532332216E+01   9.87787166400138E+02
1.90839497198149E+01   9.39116204523570E+02
2.00599331839768E+01   8.95279549103267E+02
2.11403335979309E+01   8.51512083456784E+02
2.27189930921651E+01   7.95077983239475E+02
2.43080694486117E+01   7.45644042999777E+02
2.59114571288725E+01   7.01798973193698E+02
2.75329036191419E+01   6.62678915834249E+02
2.91578998055908E+01   6.27633440958945E+02
3.09781988912401E+01   5.92630762045608E+02
3.30893823242871E+01   5.56811424582424E+02
3.60966651503560E+01   5.12847295143697E+02
3.90846115130138E+01   4.75745679581283E+02
4.20767108836808E+01   4.43685783603465E+02
4.50732821342181E+01   4.15810573646252E+02
4.80670299841141E+01   3.91334791296110E+02
5.00640997302310E+01   3.76608763153583E+02
5.50579881552382E+01   3.44336454306366E+02
6.00621853719583E+01   3.17234286137295E+02
6.50652208481989E+01   2.94283716114101E+02
7.00640461706631E+01   2.74551126697207E+02
7.50472771470020E+01   2.57391871401745E+02
8.00489377810867E+01   2.42264412590010E+02
8.50467845234588E+01   2.28864004121235E+02
9.00417120621382E+01   2.16914536344457E+02
9.50345525982850E+01   2.06189898117451E+02
1.00025751055614E+02   1.96465692465942E+02
1.10218469510651E+02   1.79310023345382E+02
1.20026048708405E+02   1.65442532778080E+02
1.30029364300367E+02   1.53360401837321E+02
1.40028892114335E+02   1.42968373383542E+02
1.50028321638721E+02   1.33922044135551E+02
1.60023050577334E+02   1.25934440014806E+02
1.70024448125728E+02   1.18876410671465E+02
1.80037139761428E+02   1.12583194505996E+02
1.90036158730713E+02   1.06951221865899E+02
2.00041685468745E+02   1.01878423237884E+02
2.10053649398504E+02   9.72859999257080E+01
2.20056782832163E+02   9.31194764899577E+01
2.30060586551913E+02   8.93249369715146E+01
2.40066778761442E+02   8.58358883379700E+01
2.50059131916876E+02   8.26555691513392E+01
2.60067856970130E+02   7.97099226950594E+01
2.70067499110176E+02   7.69971548968765E+01
2.80075160358129E+02   7.44826894239966E+01
2.90062566488913E+02   7.21555231688460E+01
3.00090035229382E+02   6.99838229118594E+01
3.10091643321845E+02   6.79704999866512E+01
3.15105186887933E+02   6.70070792434562E+01
3.20109706010324E+02   6.60783743329743E+01
3.26086597551480E+02   6.50128958322269E+01
3.30108348414502E+02   6.43155790226934E+01
