Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,596.578750E-3,56.116794E-3,1.606925E-3,24.408951E-3,100.000000E+0
25.000000E+0,539.827250E-3,1.064307E-3,25.385400E-3,1.351176E-3,100.000000E+0
30.000000E+0,516.895500E-3,17.537567E-3,-103.596250E-3,27.471369E-3,100.000000E+0
40.000000E+0,540.876250E-3,29.437520E-3,-207.344250E-3,26.215200E-3,100.000000E+0
50.000000E+0,532.861750E-3,25.762751E-3,-261.233500E-3,53.940565E-3,100.000000E+0
60.000000E+0,677.862250E-3,54.933762E-3,-409.711750E-3,37.530417E-3,100.000000E+0
75.000000E+0,696.234250E-3,72.720688E-3,-555.766750E-3,56.371065E-3,100.000000E+0
100.000000E+0,702.113750E-3,98.549903E-3,-572.781000E-3,20.017274E-3,100.000000E+0
120.000000E+0,771.650250E-3,25.129131E-3,-801.454250E-3,76.246647E-3,100.000000E+0
150.000000E+0,1.159000E+0,120.211872E-3,-1.065841E+0,74.464736E-3,100.000000E+0
200.000000E+0,841.666000E-3,25.171800E-3,-454.754750E-3,109.594941E-3,100.000000E+0
250.000000E+0,1.118332E+0,7.104356E-3,-1.481872E+0,6.125734E-3,100.000000E+0
300.000000E+0,937.061750E-3,2.535280E-3,-514.573500E-3,19.514505E-3,100.000000E+0
400.000000E+0,364.831750E-3,1.532125E-3,-35.741750E-3,3.301737E-3,100.000000E+0
500.000000E+0,324.666250E-3,3.877722E-3,143.194750E-3,3.969683E-3,100.000000E+0
600.000000E+0,294.140000E-3,1.529609E-3,231.131500E-3,3.446666E-3,100.000000E+0
750.000000E+0,362.338500E-3,5.510312E-3,62.322575E-3,2.052267E-3,100.000000E+0
1.000000E+3,447.943000E-3,2.112631E-3,-34.461300E-3,2.351880E-3,100.000000E+0
1.200000E+3,455.399500E-3,2.018288E-3,-23.824800E-3,2.751666E-3,100.000000E+0
1.500000E+3,374.158000E-3,1.748552E-3,-27.781625E-3,2.642831E-3,100.000000E+0
2.000000E+3,424.627250E-3,6.142218E-3,-93.750875E-3,2.556638E-3,100.000000E+0
2.500000E+3,449.867750E-3,3.338853E-3,-124.513250E-3,2.819874E-3,100.000000E+0
3.000000E+3,471.717250E-3,1.339926E-3,-155.201000E-3,5.406167E-3,100.000000E+0
4.000000E+3,515.008250E-3,4.920099E-3,-160.965250E-3,5.706193E-3,100.000000E+0
5.000000E+3,543.179250E-3,992.833666E-6,-235.958750E-3,2.328927E-3,100.000000E+0
6.000000E+3,472.591000E-3,2.613071E-3,-220.654750E-3,4.360862E-3,100.000000E+0
7.500000E+3,668.523750E-3,1.073564E-3,-230.981500E-3,3.940867E-3,100.000000E+0
10.000000E+3,904.112500E-3,3.892243E-3,-262.352250E-3,7.330297E-3,100.000000E+0
12.000000E+3,1.201540E+0,2.571867E-3,-386.705000E-3,28.254228E-3,100.000000E+0
15.000000E+3,1.912848E+0,4.204036E-3,-628.038750E-3,10.270716E-3,100.000000E+0
20.000000E+3,2.727935E+0,5.231312E-3,-1.177377E+0,4.071740E-3,100.000000E+0
25.000000E+3,3.275130E+0,7.634527E-3,-1.688275E+0,1.525852E-3,100.000000E+0
30.000000E+3,3.484735E+0,1.432908E-3,-2.091940E+0,2.587257E-3,100.000000E+0
40.000000E+3,3.351605E+0,3.282076E-3,-2.756320E+0,7.411835E-3,100.000000E+0
50.000000E+3,3.210857E+0,994.569632E-6,-3.401898E+0,3.846390E-3,100.000000E+0
60.000000E+3,3.046380E+0,1.579984E-3,-4.034730E+0,7.846939E-3,100.000000E+0
75.000000E+3,2.747348E+0,3.376014E-3,-4.987020E+0,8.574535E-3,100.000000E+0
100.000000E+3,2.124385E+0,7.591576E-3,-6.561505E+0,19.424287E-3,100.000000E+0
120.000000E+3,1.532965E+0,6.888503E-3,-7.763818E+0,14.266430E-3,100.000000E+0
150.000000E+3,497.229500E-3,8.690341E-3,-9.426005E+0,13.777131E-3,100.000000E+0
200.000000E+3,-1.699978E+0,15.441359E-3,-11.979250E+0,11.803919E-3,100.000000E+0
