Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,2e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
3.340e-05,0.428
3.360e-05,0.42
3.380e-05,0.424
3.400e-05,0.424
3.420e-05,0.428
3.440e-05,0.424
3.460e-05,0.428
3.480e-05,0.424
3.500e-05,0.436
3.520e-05,0.424
3.540e-05,0.416
3.560e-05,0.428
3.580e-05,0.432
3.600e-05,0.424
3.620e-05,0.416
3.640e-05,0.412
3.660e-05,0.432
3.680e-05,0.42
3.700e-05,0.424
3.720e-05,0.428
3.740e-05,0.424
3.760e-05,0.416
3.780e-05,0.416
3.800e-05,0.432
3.820e-05,0.424
3.840e-05,0.436
3.860e-05,0.424
3.880e-05,0.436
3.900e-05,0.428
3.920e-05,0.432
3.940e-05,0.428
3.960e-05,0.428
3.980e-05,0.432
4.000e-05,0.428
4.020e-05,0.424
4.040e-05,0.428
4.060e-05,0.428
4.080e-05,0.424
4.100e-05,0.428
4.120e-05,0.432
4.140e-05,0.448
4.160e-05,0.436
4.180e-05,0.428
4.200e-05,0.424
4.220e-05,0.436
4.240e-05,0.432
4.260e-05,0.424
4.280e-05,0.436
4.300e-05,0.428
4.320e-05,0.436
4.340e-05,0.428
4.360e-05,0.428
4.380e-05,0.428
4.400e-05,0.428
4.420e-05,0.416
4.440e-05,0.436
4.460e-05,0.436
4.480e-05,0.416
4.500e-05,0.416
4.520e-05,0.424
4.540e-05,0.428
4.560e-05,0.436
4.580e-05,0.424
4.600e-05,0.416
4.620e-05,0.428
4.640e-05,0.428
4.660e-05,0.428
4.680e-05,0.436
4.700e-05,0.428
4.720e-05,0.428
4.740e-05,0.42
4.760e-05,0.436
4.780e-05,0.424
4.800e-05,0.432
4.820e-05,0.42
4.840e-05,0.432
4.860e-05,0.436
4.880e-05,0.432
4.900e-05,0.428
4.920e-05,0.42
4.940e-05,0.424
4.960e-05,0.424
4.980e-05,0.428
5.000e-05,0.428
5.020e-05,0.432
5.040e-05,0.416
5.060e-05,0.424
5.080e-05,0.424
5.100e-05,0.42
5.120e-05,0.424
5.140e-05,0.424
5.160e-05,0.428
5.180e-05,0.432
5.200e-05,0.428
5.220e-05,0.42
5.240e-05,0.428
