Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
30.000000E+0,14.488750E-3,53.550000E-6,-227.779000E-3,602.000000E-6,50.000000E+0
40.000000E+0,60.318400E-3,58.100000E-6,-286.794000E-3,530.000000E-6,50.000000E+0
50.000000E+0,86.139650E-3,238.750000E-6,-356.750500E-3,396.500000E-6,50.000000E+0
60.000000E+0,70.427550E-3,148.250000E-6,-450.492000E-3,657.000000E-6,50.000000E+0
75.000000E+0,110.038000E-3,268.000000E-6,-559.229500E-3,1.735500E-3,50.000000E+0
100.000000E+0,223.723000E-3,637.000000E-6,-707.428000E-3,907.000000E-6,50.000000E+0
120.000000E+0,282.391500E-3,1.239500E-3,-849.054000E-3,457.000000E-6,50.000000E+0
150.000000E+0,440.064500E-3,206.500000E-6,-1.014450E+0,400.000000E-6,50.000000E+0
200.000000E+0,400.497500E-3,81.500000E-6,-635.097500E-3,94.500000E-6,50.000000E+0
250.000000E+0,142.330000E-3,164.000000E-6,-939.115000E-3,818.000000E-6,50.000000E+0
300.000000E+0,134.387000E-3,853.000000E-6,-753.709000E-3,415.000000E-6,50.000000E+0
400.000000E+0,173.338500E-3,305.500000E-6,-710.369500E-3,940.500000E-6,50.000000E+0
500.000000E+0,112.953500E-3,492.500000E-6,-407.612500E-3,1.499993E-6,50.000000E+0
600.000000E+0,61.317550E-3,28.450000E-6,-234.846500E-3,232.500000E-6,50.000000E+0
750.000000E+0,2.802310E-3,206.210000E-6,-81.641850E-3,49.450000E-6,50.000000E+0
1.000000E+3,-28.838400E-3,1.041400E-3,-31.627300E-3,1.127800E-3,50.000000E+0
1.200000E+3,-36.808700E-3,677.400000E-6,-19.437900E-3,258.900000E-6,50.000000E+0
1.500000E+3,-24.406550E-3,92.150000E-6,-29.184600E-3,13.800000E-6,50.000000E+0
2.000000E+3,-9.088870E-3,141.460000E-6,-34.922200E-3,176.300000E-6,50.000000E+0
2.500000E+3,3.008085E-3,1.252815E-3,-39.901400E-3,578.400000E-6,50.000000E+0
3.000000E+3,7.945510E-3,27.850000E-6,-38.853550E-3,2.350000E-6,50.000000E+0
4.000000E+3,9.079265E-3,143.745000E-6,-27.510500E-3,146.500000E-6,50.000000E+0
5.000000E+3,8.886430E-3,324.270000E-6,-23.184600E-3,42.200000E-6,50.000000E+0
6.000000E+3,-8.819815E-3,248.345000E-6,-13.885250E-3,277.750000E-6,50.000000E+0
7.500000E+3,-14.462250E-3,169.950000E-6,-1.996925E-3,223.855000E-6,50.000000E+0
10.000000E+3,-19.479450E-3,181.050000E-6,-1.225290E-3,181.950000E-6,50.000000E+0
12.000000E+3,-10.220000E-3,118.800000E-6,-2.080345E-3,123.855000E-6,50.000000E+0
15.000000E+3,-4.128445E-3,77.495000E-6,-222.071800E-6,131.684200E-6,50.000000E+0
20.000000E+3,-2.546865E-3,705.000000E-9,1.605795E-3,117.165000E-6,50.000000E+0
25.000000E+3,-5.154330E-3,183.720000E-6,-464.175000E-6,1.858000E-6,50.000000E+0
30.000000E+3,-2.443120E-3,2.172400E-3,17.761350E-3,1.448550E-3,50.000000E+0
40.000000E+3,-1.328550E-3,18.330000E-6,2.497645E-3,17.795000E-6,50.000000E+0
50.000000E+3,-3.656535E-3,16.345000E-6,-353.545500E-6,3.592500E-6,50.000000E+0
60.000000E+3,-4.008120E-3,42.570000E-6,-200.027000E-6,47.081000E-6,50.000000E+0
75.000000E+3,-4.037320E-3,7.200000E-6,294.932500E-6,20.708500E-6,50.000000E+0
100.000000E+3,-3.924620E-3,7.230000E-6,200.129500E-6,6.723500E-6,50.000000E+0
120.000000E+3,-3.307560E-3,70.290000E-6,616.928500E-6,29.239500E-6,50.000000E+0
150.000000E+3,-3.572230E-3,34.080000E-6,278.813000E-6,25.852000E-6,50.000000E+0
200.000000E+3,-31.107100E-3,108.900000E-6,1.043990E-3,119.480500E-6,50.000000E+0
