T,R1,L1,C1,R2,C2,R3,C3
280,2.4715231246336686@1.5431344557653985,0.19121114749525114@0.25301447864382615,4.7289439053242716e-08@6.882412583873435e-08,-0.45710764358484557@1.5433373678147526,4.487005682973959e-07@2.841865653604123e-06,0.023030846321984332@0.03560920880817184,0.1430032656174626@0.09800516448850637
260,2.5182155154862476@0.843958948402364,0.18830626228184816@0.17160108032103258,5.1439785386935136e-08@4.3757745491489235e-08,-0.3465684510043816@0.8439872719058553,7.936741774490852e-07@3.5446756084105663e-06,0.056138478165612044@0.23853077806955186,0.14154373631699152@0.2668893188987781
240,3.0125517427032023@1.2534644944699787,0.2685724406536656@0.22866791447674847,3.809635538582849e-08@3.466180888520652e-08,-0.6844052160005273@1.2536060072853143,2.5339310847414974e-07@8.999905688189645e-07,0.010697140272600087@0.00926728490012547,0.1437848344466662@0.15116199167291633
220,5.591073786469273@9.693158931469748,0.8228254464083392@2.8882148104201444,1.281359048347707e-08@3.494580168484214e-08,-3.092392000848084@9.693676613617903,1.328818806959958e-08@1.1697828767354783e-07,0.020132165107043857@0.019059161196705695,0.07781362375360962@0.07502631465459114
200,10.797358985332@7.973469753517486,2.557162491145123@3.7806698952593094,5.834452279194799e-09@6.36739053628182e-09,-7.777859911375594@7.978196194261575,3.3625992291295583e-09@1.1898107912005042e-08,0.010829632504329457@0.011995542643978572,0.0014547093727251123@0.004223352595554721
180,26.06245154574296@6.190395096480154,11.6590036191442@5.56064385153565,1.7823645969955279e-09@6.098661475355497e-10,-22.840340377302677@6.2336732083714,1.0000000000000003e-15@5.051763955920198e-10,0.012731369548993657@0.05456314479729141,0.00030870676204412405@0.002496230872527328
160,25.778767395251418@5.835680194170294,10.250744145546692@4.66655819146745,2.6922272909197413e-09@9.875534763239562e-10,-22.382343797780425@5.937091800083982,1.0000000000000003e-15@6.852651565655768e-10,0.0174978298412225@0.12020582631069458,0.0001735409067892996@0.0020483994992989175
140,22.546357592643517@1.3802311220444663,6.044250760455119@0.7668277643335403,5.877809499025456e-09@4.5125176331955567e-10,-18.99605990592041@1.3805943916598689,6.741367220355977e-11@4.91460766024987e-10,0.02054177195320886@0.009641027801230908,0.016668867964499803@0.018131216690829437
120,21.84949223136741@0.6996455415509679,4.123156887806893@0.285528937054152,1.0751023943150038e-08@5.563137956061861e-10,-18.233097786820906@0.706971356377887,1.5389889174900394e-09@4.85913543611302e-10,0.024718131080706883@0.01684294264910398,0.0006396783964002467@0.0011101809264195983
100,23.068356430696845@0.2944696299214303,3.014870592438966@0.12819953733469563,1.9687446704467445e-08@4.73632506738835e-10,-19.450255048033288@0.29522142498541787,4.791447532731847e-09@3.8901692292358095e-10,0.03865861311773711@0.02361636242053381,0.020426781037253@0.02375324726980645
85,26.72914518516188@0.3583301513264612,2.8209375791998736@1.8579280129696563,2.7189123614030805e-08@8.267193649453503e-10,-23.233925214792812@0.35989211573728813,7.328524228047861e-09@5.700985403537802e-10,0.18926582406978334@2.7939693814512907,0.04665943986472583@0.2985082283180548
