axis_index,artist_type,label,x,y
0,line,M(T),288.9448,-0.005708233825783349
0,line,M(T),288.089,-0.0057080741688451215
0,line,M(T),287.2719,-0.005708878891316026
0,line,M(T),286.4462,-0.00570537287645479
0,line,M(T),285.7451,-0.005703646263921218
0,line,M(T),285.0459,-0.005703745405729633
0,line,M(T),284.4059,-0.005702618794270368
0,line,M(T),283.8659,-0.005704344119247986
0,line,M(T),283.3036,-0.0057015629983885405
0,line,M(T),282.791,-0.005699237672336616
0,line,M(T),282.2652,-0.005699685741808416
0,line,M(T),281.8127,-0.005700607631871084
0,line,M(T),281.2796,-0.005698156125335721
0,line,M(T),280.786,-0.005698046683079679
0,line,M(T),280.272,-0.005696204190510297
0,line,M(T),279.7268,-0.00569628788164727
0,line,M(T),279.204,-0.005695367279140556
0,line,M(T),278.6725,-0.005694175002327664
0,line,M(T),278.0885,-0.005693029077529097
0,line,M(T),277.509,-0.005692606759176365
0,line,M(T),276.9392,-0.005692825643688452
0,line,M(T),276.3344,-0.005689868127663384
0,line,M(T),275.7252,-0.005689736796956133
0,line,M(T),275.103,-0.005688444090778872
0,line,M(T),274.5244,-0.005686251382990152
0,line,M(T),273.9485,-0.0056837651124440475
0,line,M(T),273.3595,-0.005684112752551478
0,line,M(T),272.7312,-0.005681206738764549
0,line,M(T),272.1808,-0.005681459099731424
0,line,M(T),271.5949,-0.005680583561683081
0,line,M(T),271.0392,-0.005678009737332141
0,line,M(T),270.4482,-0.005676713168487019
0,line,M(T),269.8925,-0.005676454369740376
0,line,M(T),269.3341,-0.005673332046553268
0,line,M(T),268.7986,-0.005671381399283797
0,line,M(T),268.1711,-0.005670200710474486
0,line,M(T),267.6188,-0.005670932042256043
0,line,M(T),267.0756,-0.005668901566517458
0,line,M(T),266.495,-0.005664921731065354
0,line,M(T),265.9007,-0.005665461217009849
0,line,M(T),265.3322,-0.005663334174574754
0,line,M(T),264.7664,-0.005661396402864817
0,line,M(T),264.2097,-0.005661095114771711
0,line,M(T),263.5876,-0.005656313131960609
0,line,M(T),263.0476,-0.005659076227036707
0,line,M(T),262.5108,-0.005655932015398389
0,line,M(T),261.9117,-0.0056504856537153095
0,line,M(T),261.3011,-0.005648120413428827
0,line,M(T),260.7332,-0.005645325129453894
0,line,M(T),260.1773,-0.005645647018442257
0,line,M(T),259.5864,-0.00564073628003581
0,line,M(T),258.9576,-0.0056397113854968674
0,line,M(T),258.3755,-0.005636728118352732
0,line,M(T),257.7701,-0.005633415236884513
0,line,M(T),257.1967,-0.0056314130873769035
0,line,M(T),256.5985,-0.0056258753092211285
0,line,M(T),256.0231,-0.005626452134288273
0,line,M(T),255.4489,-0.005620694184064458
0,line,M(T),254.8743,-0.0056209323819158465
0,line,M(T),254.283,-0.005615609625604298
0,line,M(T),253.6932,-0.005612738375828111
0,line,M(T),253.0914,-0.005607813474306177
0,line,M(T),252.5487,-0.0056061576773500455
0,line,M(T),251.9673,-0.0056021456529991055
0,line,M(T),251.3816,-0.005598203156669652
0,line,M(T),250.8132,-0.005592301000179052
0,line,M(T),250.2446,-0.005591653359534468
0,line,M(T),249.6413,-0.005584506136436886
0,line,M(T),249.0468,-0.005583337035631156
0,line,M(T),248.4766,-0.005575181656222024
0,line,M(T),247.9093,-0.005568788940913161
0,line,M(T),247.2995,-0.00556370051978514
0,line,M(T),246.7421,-0.005555922394270368
0,line,M(T),246.1285,-0.005551923245478962
0,line,M(T),245.5252,-0.005547123236884512
0,line,M(T),244.9416,-0.00554183653213966
0,line,M(T),244.39,-0.005533122353446733
0,line,M(T),243.83,-0.0055275691246195165
0,line,M(T),243.2331,-0.005519909454252462
0,line,M(T),242.6353,-0.005510220595702776
0,line,M(T),242.0865,-0.005504241185854969
0,line,M(T),241.5094,-0.005493881510653537
0,line,M(T),240.9541,-0.005486989223634737
0,line,M(T),240.3588,-0.005476720964905999
0,line,M(T),239.7839,-0.005466124379409132
0,line,M(T),239.1776,-0.005454254401074307
0,line,M(T),238.6073,-0.0054461543865711734
0,line,M(T),237.9631,-0.005431794275022381
0,line,M(T),237.3965,-0.005415541456222023
0,line,M(T),236.8314,-0.00540449036347359
0,line,M(T),236.2243,-0.0053888478461951664
0,line,M(T),235.5963,-0.005372874427036706
0,line,M(T),235.0149,-0.005354027182990153
0,line,M(T),234.4202,-0.0053361674943598935
0,line,M(T),233.8401,-0.005316564454968666
0,line,M(T),233.2077,-0.0052930485330349155
0,line,M(T),232.633,-0.005268962223813786
0,line,M(T),232.0203,-0.005243339860340197
0,line,M(T),231.4355,-0.005217984020948971
0,line,M(T),230.8281,-0.005183513572963295
0,line,M(T),230.1973,-0.005148408359892569
0,line,M(T),229.6196,-0.005112471385675918
0,line,M(T),229.0497,-0.00507192238603402
0,line,M(T),228.3824,-0.005026295265711729
0,line,M(T),227.7808,-0.004974615344852284
0,line,M(T),227.2096,-0.004923370617905104
0,line,M(T),226.6451,-0.004865592832050134
0,line,M(T),226.0003,-0.004795196997851387
0,line,M(T),225.4245,-0.004720307593375113
0,line,M(T),224.8471,-0.0046358516481647275
0,line,M(T),224.274,-0.004543058778155775
0,line,M(T),223.6523,-0.004430528962936437
0,line,M(T),223.0638,-0.004305712001253357
0,line,M(T),222.4684,-0.0041577228950760966
0,line,M(T),221.8638,-0.0039914994214861246
0,line,M(T),221.2661,-0.0037995467172784246
0,line,M(T),220.6784,-0.0035822085598925697
0,line,M(T),220.0662,-0.0033350390186213073
0,line,M(T),219.4422,-0.0030520586836168314
0,line,M(T),218.8,-0.0027340568266786035
0,line,M(T),217.7477,-0.002092027350940018
0,line,M(T),216.7798,-0.0014852575949865713
0,line,M(T),216.1836,-0.0010980485755058193
0,line,M(T),215.5802,-0.0006678458738943599
0,line,M(T),215.0076,-0.00028035230454789617
0,line,M(T),214.412,0.0003286952666427932
0,line,M(T),213.7668,0.0008980434963652642
