axis_index,artist_type,label,x,y
0,scatter,c,4.1943275928497314,5.91222485960467
0,scatter,c,5.963392972946167,5.853446628846848
0,scatter,c,7.720344543457031,5.7025387337867635
0,scatter,c,9.477035284042358,5.581879405476986
0,scatter,c,11.275214195251465,5.531317827509952
0,scatter,c,13.03676700592041,5.429614365476237
0,scatter,c,14.80894684791565,5.330415445042772
0,scatter,c,16.57261037826538,5.205738951178936
0,scatter,c,18.341891765594482,5.111827260525235
0,scatter,c,20.116313934326172,4.998459455416399
0,scatter,c,21.88948941230774,4.9098230820608855
0,scatter,c,23.668073892593384,4.772481786087158
0,scatter,c,25.442821502685547,4.720749047308906
0,scatter,c,27.202976942062378,4.686599453161234
0,scatter,c,28.97630500793457,4.554341990428656
0,scatter,c,30.742919445037842,4.405657462364458
0,scatter,c,32.532416582107544,4.284081573984888
0,scatter,c,34.321340560913086,4.178441472780512
0,scatter,c,36.10189938545227,4.012717854094452
0,scatter,c,37.871927976608276,3.8905218862044255
0,scatter,c,39.67281222343445,3.7497376980733526
0,scatter,c,41.449180126190186,3.6341988840927915
0,scatter,c,43.22582507133484,3.5397928182228258
0,scatter,c,45.00472712516785,3.418705328812157
0,scatter,c,46.77239513397217,3.265159793533157
0,scatter,c,48.52961540222168,3.1372548498016197
0,scatter,c,50.307384967803955,2.9948331163202
0,scatter,c,52.08289361000061,2.8492688077594193
0,scatter,c,53.86540603637695,2.75518242892665
0,scatter,c,55.640612840652466,2.636541396601014
0,scatter,c,57.40906357765198,2.491246237068402
0,scatter,c,59.58842182159424,2.3795594810401157
0,scatter,c,61.41188430786133,2.2842741030668874
0,scatter,c,63.18273711204529,2.1931399043025968
0,scatter,c,64.93943572044373,2.1258444106562613
0,scatter,c,66.73714995384216,2.0634408667815998
0,scatter,c,71.05926561355591,5.609179974507398
0,scatter,c,72.8234875202179,5.537236781854606
0,scatter,c,74.60556268692017,5.407096814639493
0,scatter,c,76.3784282207489,5.307340535341058
0,scatter,c,78.14765119552612,5.254254007461536
0,scatter,c,79.92662787437439,5.116577462590793
0,scatter,c,81.69821238517761,5.070547928593577
0,scatter,c,83.47165560722351,4.983030727075499
0,scatter,c,85.24524140357971,4.874627652956028
0,scatter,c,87.03801608085632,4.791403507803165
0,scatter,c,88.82441234588623,4.673701308132541
0,scatter,c,90.5878975391388,4.570244668826278
0,scatter,c,92.37958240509033,4.48946298188515
0,scatter,c,94.17067122459412,4.392507544210334
0,scatter,c,95.96937894821167,4.282282962990671
0,scatter,c,97.73681807518005,4.1647253550547045
0,scatter,c,99.52985906600952,4.057969689112054
0,scatter,c,101.35547113418579,3.942802511965342
0,scatter,c,103.1571044921875,3.8310719262067234
0,scatter,c,104.94825315475464,3.7064481110705674
0,scatter,c,106.72707056999207,3.5917457131212567
0,scatter,c,108.49681687355042,3.479496528066599
0,scatter,c,110.27704691886902,3.3580631537205763
0,scatter,c,112.05397081375122,3.2393743120891156
0,scatter,c,113.82204103469849,3.1251221195077847
0,scatter,c,115.60096144676208,3.001670015908443
0,scatter,c,117.3687174320221,2.8822393598485743
0,scatter,c,119.1424355506897,2.7595983404297275
0,scatter,c,120.91465497016907,2.655350332466213
0,scatter,c,122.71653485298157,2.5470930539437404
0,scatter,c,124.48088479042053,2.442592017821981
0,scatter,c,126.24557113647461,2.3422350419477325
0,scatter,c,128.04626893997192,2.256936366936385
0,scatter,c,129.8231658935547,2.184311521460026
0,scatter,c,131.58970856666565,2.115765846065438
0,scatter,c,133.369854927063,2.062354004395232
0,scatter,c,135.1482539176941,2.0141710332631
0,scatter,c,136.92243432998657,1.8707881074493866
0,scatter,c,138.68950033187866,1.8666920279535826
0,scatter,c,140.4575400352478,1.841350543539857
0,scatter,c,142.23325562477112,1.8682538996932316
0,scatter,c,144.00567960739136,1.7760324296447094
0,scatter,c,145.80586671829224,1.6126968326151043
0,scatter,c,147.57962036132812,1.5305159808970994
0,scatter,c,149.33781003952026,1.4847170095556392
0,scatter,c,151.11816787719727,1.7442854116213606
0,scatter,c,152.88461780548096,1.3612597420094261
0,scatter,c,154.66267228126526,1.4122952388723629
0,scatter,c,156.40825748443604,1.4865095
0,scatter,c,158.1357283592224,1.48591625
0,scatter,c,159.9100639820099,1.3668025261077998
0,scatter,c,161.6861379146576,1.2735417634223118
0,scatter,c,163.49172377586365,1.1864601382540114
0,scatter,c,165.26075077056885,1.111187245448915
0,scatter,c,167.06610584259033,1.045988646719938
0,scatter,c,168.85696816444397,0.9940831065175619
0,scatter,c,170.6363227367401,0.9540450127727695
0,scatter,c,172.4162573814392,0.9301403769278374
0,scatter,c,174.18373918533325,0.9164196995417767
