T,L1,R2,C2,R3,C3
280,3.654085137,10.33346683,3.24E-09,-8.317804625,4.79E-10
260,3.87280166,10.46844816,3.35E-09,-8.296118773,7.08E-10
240,3.330293356,10.57515871,3.18E-09,-8.250056406,1.55E-09
220,3.980292364,11.97361279,3.52E-09,-9.471820018,2.56E-10
200,3.22972078,12.12445687,4.99E-09,-9.097114859,1.87E-09
180,2.491602888,12.04083075,6.57E-09,-8.806780197,3.46E-09
160,2.289340998,12.19217592,9.47E-09,-8.778775735,5.22E-09
140,1.855979165,12.44418586,1.53E-08,-8.885955173,8.52E-09
120,1.892347639,14.84009457,2.07E-08,-11.20450904,9.81E-09
100,2.873745744,22.57855732,2.07E-08,-18.95179743,5.34E-09
85,4.031479456,31.22449488,2.12E-08,-27.73835297,3.42E-09
